year,school_type,establishment,region,status,univ_name,total,degree_total,humanities,natural_science,engineering,arts_sports,medicine,joint_program,training_total,language_training,exchange,visiting,other_training,lang_qualified_total,topik4_plus,english_track,english_native,lang_qualified_ratio,dorm_deg_total,dorm_deg_in,dorm_deg_out,dorm_tr_total,dorm_tr_in,dorm_tr_out,univ_key,dorm_capacity_rate,univ_name_en,dorm_capacity,dorm_fee_min,dorm_available
2025,대학교,사립,충북,기존,중원대학교,172,154,68,5,4,77,0,0,18,8,10,0,0,57,14,43,0,37.0,154,51,103,18,18,0,중원대,40.1,JUNGWON UNIVERSITY,2589.0,790000.0,아니오
2025,대학교,사립,경기,기존,차의과학대학교,29,29,29,0,0,0,0,0,0,0,0,0,0,29,0,29,0,100.0,29,28,1,0,0,0,차의과학대,96.6,CHA UNIVERSITY,0.0,,아니오
2025,대학교,사립,경남,기존,창신대학교,229,158,103,3,52,0,0,8,63,63,0,0,0,10,10,0,0,6.3,158,77,81,71,70,1,창신대,64.2,CHANGSHIN University,599.0,2006.0,예
2025,산업대학,사립,충남,기존,청운대학교,458,350,268,2,65,15,0,0,108,108,0,0,0,63,44,19,0,18.0,350,0,350,108,0,108,청운대,0.0,CHUNGWOON UNIVERSITY,1148.0,6.0,예
2025,대학교,사립,충북,기존,청주대학교,1952,1716,851,2,582,281,0,0,236,175,61,0,0,41,41,0,0,2.4,1716,759,957,236,106,130,청주대,44.3,CHEONGJU UNIVERSITY,2243.0,105.0,예
2025,대학교,사립,전남,기존,초당대학교,349,270,177,12,68,13,0,0,79,30,49,0,0,52,46,6,0,19.3,270,3,267,79,49,30,초당대,14.9,CHODANG UNIVERSITY,400.0,730000.0,예
2025,대학교,사립,서울,기존,총신대학교,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,71.4,7,2,5,0,0,0,총신대,28.6,CHONGSHIN UNIVERSITY,1240.0,100.0,예
2025,대학교,사립,서울,기존,추계예술대학교,45,45,9,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0.0,45,45,0,0,0,0,추계예술대,100.0,CHUGYE UNIVERSITY FOR THE ARTS,0.0,,아니오
2025,대학교,국립,대전,기존,충남대학교,674,299,231,31,30,6,1,0,375,296,79,0,0,205,138,64,3,68.6,299,28,271,375,175,200,충남대,30.1,CHUNGNAM NATIONAL UNIVERSITY(CNU),10248.0,102.0,예
2025,대학교,국립,충북,기존,충북대학교,826,392,267,40,80,4,1,0,434,358,76,0,0,201,201,0,0,51.3,392,41,351,434,104,330,충북대,17.6,CHUNGBUK NATIONAL UNIVERSITY,4121.0,400000.0,예
2025,대학교,사립,경기,기존,칼빈대학교,1940,1856,1777,79,0,0,0,0,84,84,0,0,0,580,64,505,11,31.3,1856,6,1850,84,16,68,칼빈대,1.1,CALVIN UNIVERSITY,40.0,200000.0,예
2025,사이버대학(대학),사립,서울,신설,태재대학교,13,13,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13,0,13,0,0,0,태재대,0.0,Taejae University,200.0,800.0,예
